text,created_at
"Bolivia elegirá a su nuevo gobierno el 18 de octubre. Por ello “urgimos al gobierno de facto de Bolivia poner fin a toda persecución política, condición ineludible para la realización de elecciones libres, transparentes y democráticas”. Así se pronunciaron recientemente en Ginebra, Suiza, seis organismos nacionales e internacionales de DDHH en el Debate General del 45° periodo de sesiones del Consejo de Derechos Humanos de la Organización de las Naciones Unidas (ONU).",2020-10-05
Conferencia de Prensa de nuestro Binomio Lucho Arce y David Choquehuanca en Rurrenabaque ✊🏽,2020-10-05
"¡Estamos en Vivo! 
Gran Caminata acompaña a nuestro binomio Lucho Arce y David Choquehuanca en Rurrenabaque ✊🏽",2020-10-05
Continuamos con la Gran Caminata que acompaña a nuestro binomio Lucho Arce y David Choquehuanca en Rurrenabaque ✊🏽,2020-10-05
Nunca podrán borrar la memoria del Pueblo,2020-10-05
Conferencia de nuestros candidatos Lucho Arce y David Choquehuanca en Trinidad ✊🏽,2020-10-05
Somos Trinidad ✊🏽,2020-10-05
La Sala Constitucional Segunda del Tribunal de Justicia de La Paz rechazó este lunes (5/10) en audiencia la acción de cumplimiento presentada por la senadora Carmen Eva Gonzáles para que el Tribunal Supremo Electoral (TSE) suspenda la personalidad jurídica del Movimiento Al Socialismo (MAS) y de esa manera no participe de las elecciones generales del 18 de octubre.,2020-10-05
"Sector de mototaxistas dan su respaldo a nuestro instrumento ✊🏽
#SomosMillones
#SomosMAS
#VamosASalirAdelante",2020-10-05
"Sustitución de importaciones, renegociación de la deuda e impuesto a las grandes fortunas, fueron algunas de las ideas principales con las que el candidato a la presidencia por el Movimiento Al Socialismo, Lucho Arce, marcó la diferencia en el programa denominado “Hablemos del futuro económico de Bolivia”.",2020-10-06
"¡Gran Caravana en Riberalta! ✊🏽
Nuestro binomio Lucho Arce y David Choquehuanca, participa de la gran caravana de Riberalta.",2020-10-06
Somos Riberalta ✊🏽,2020-10-06
"#Cobija #Pando 
En conferencia de prensa nuestros candidatos, Lucho Arce y David Choquehuanca, dan a conocer a la población pandina el plan de gobierno para enfrentar la crisis económica y social que vive #Bolivia.",2020-10-06
"Nuestro binomio candidato en reunión con estudiantes de la Universidad Amazónica de Pando - UAP, conversando sobre nuestras propuestas para la juventud. Con la fuerza de nuestros jóvenes #VamosASalirAdelante",2020-10-06
"Alertamos a la Comunidad Internacional sobre los riesgos que enfrenta la recuperación de la democracia en el Estado Plurinacional de #Bolivia, por lo cual les solicitamos su apoyo y observación activa durante la campaña electoral, la jornada del 18 de octubre y los días posteriores a las #Elecciones2020.",2020-10-06
"Inicia, desde el barrio Las Arenas, gran caravana que acompaña Lucho Arce y David Choquehuanca. ¡Rumbo a la victoria del 18 de  octubre!",2020-10-06
"¡Estamos en vivo desde #Cobija!
Con el apoyo de la población venceremos.",2020-10-06
"El pueblo #Cobija la victoria de Octubre ✊🏽
Gran caravana hermanas y hermanos pandinos. #SomosPueblo #SomosMAS",2020-10-06
"El gobierno nacional de Argentina aprobó el protocolo de medidas de seguridad sanitaria para que las y los residentes bolivianos en dicho país puedan participar en las elecciones generales del 18 de octubre. En la provincia de Salta, límite con Bolivia, se estima que serán alrededor de 30 mil personas las que podrán acceder al voto.",2020-10-07
