,created_at,original,translated
83,2020-10-01 23:38,RT @LuchoXBolivia: Desde #Cochabamba reivindicamos la lucha por la recuperación de la democracia y la Patria para el pueblo boliviano. Grac…,
84,2020-10-01 20:43,RT @LuchoXBolivia: Las universidades están en estado de emergencia por la reducción de sus ingresos de coparticipación e IDH. La situación…,
85,2020-10-01 20:43,RT @LuchoXBolivia: Agradecido con la Univ. Mayor de San Simón donde presentamos nuestro plan para salir de la crisis. Trabajaremos de maner…,
86,2020-10-01 20:43,"RT @AndronicoRod: Recorrimos las calles de nuestra querida ciudad de Oruro, en la gran caminata por la democracia junto a la juventud y las…",
87,2020-10-01 20:43,"RT @LaramaDavid: ¡El pueblo unido jamás será vencido!
Estamos en en el distrito minero de #Kami, avanzando firmes hacia la gran victoria de…",
88,2020-10-01 20:43,"RT @LuchoXBolivia: #Cochabamba Estamos en la Universidad Mayor de San Simón en un diálogo con docentes, plantel administrativo y estudiante…",
89,2020-10-01 20:43,RT @LuchoXBolivia: Incentivaremos emprendimientos que permitan el diseño de nuevos productos turísticos especializados y variedad de posibl…,
90,2020-10-01 20:42,RT @LuchoXBolivia: [HILO] Somos el único partido que tiene una propuesta certera para salir de la crisis económica y social. La sustitución…,
91,2020-10-01 20:42,"RT @LaramaDavid: Con una rica lagua, música y mucho cariño, así nos recibieron las hermanas y hermanos de Lip'ichi, #Cochabamba.

Seguimos…",
92,2020-10-01 20:42,"RT @LaramaDavid: Seguimos recorriendo #Bolivia para escuchar a nuestro pueblo, hoy llegamos a Lip'ichi en #Cochabamba siempre recibidos con…",
93,2020-10-01 20:42,"RT @evoespueblo: Mientras otros gobiernos privatizaron nuestros recursos naturales y nuestras empresas estatales, tuvimos con el pueblo el…",
94,2020-10-01 13:30,"En la noche del 27 de septiembre, @LuchoXBolivia estuvo en Bolivisión presentando los lineamientos de su propuesta de gobierno que, según dijo, está sustentada en tres pilares: reconstrucción económica, salud y educación.

https://t.co/BoflTuNyle",
95,2020-09-30 17:17,"El candidato a presidente de Boliva por el MAS-IPSP @LuchoXBolivia anticipó que retomará el programa de atención integral en oncología que abarcará el diagnóstico, prevención precoz y tratamiento, e implementará además programas para la inmunoterapia.

https://t.co/PWmRc0x10r",
96,2020-09-30 14:25,"El candidato presidencial del MAS @LuchoXBolivia afirmó que el impuesto a las grandes fortunas será a las personas que tengan un patrimonio personal entre 5 y 10 millones de dólares y no a las empresas o fábricas que tienen un capital establecido.

https://t.co/uncfHzsSiK",
97,2020-09-30 13:44,"La Defensoría del Pueblo de Bolivia presentó ante el TSE un plan para proteger la vida e integridad física de las y los votantes en las elecciones presidenciales del 18 de octubre, que significarán la vuelta de un gobierno elegido por el voto popular.

https://t.co/528SCvVDfL",
98,2020-09-29 15:03,RT @LuchoXBolivia: Con la industrialización del Litio se crearán empresas de servicio energético que potenciarán la generación de 130 mil e…,
99,2020-09-29 15:03,RT @evoespueblo: El golpismo es responsable del descalabro económico. En 10 meses están destruyendo lo que con tanto esfuerzo hemos constru…,
100,2020-09-29 15:03,"RT @LuchoXBolivia: Hemos cumplido una intensa jornada hoy en #Tarija. 
Finalizamos el día con entrevistas en los medios tarijeños. Muchas g…",
101,2020-09-29 15:03,RT @LuchoXBolivia: Nos reunimos con representantes de la Federación de Empresarios Privados de #Tarija. Escuchamos sus inquietudes y les pl…,
102,2020-09-29 15:03,"RT @EvaCopa_Bol: Nuestro hermano Luis Arce cumple un año más de vida, desde la ciudad de #ElAlto expresamos nuestra felicitación y admiraci…",
